title,img,writer,price,uri
ΠΡΟΠΑΙΔΕΙΑ ΣΥΝΑΙΣΘΗΜΑΤΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4029_1.jpg,ΚΛΕΤΣΑΣ ΘΑΝΟΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/propaideia-synaisthimaton.html
Η ΜΟΙΡΑ ΤΩΝ ΖΩΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4027.jpg,ΡΕΓΚΑΣ ΣΤΕΦΑΝΟΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-moira-ton-zoon.html
ΠΕΦΤΟΝΤΑΣ ΞΥΠΝΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4013.jpg,OSWALD ALICE/ ΟΣΒΑΛΝΤ ΑΛΙΣ,"9,99 €|11,10 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/peftontas-xypnia.html
ΤΕΤΑΡΤΟ ΚΑΛΟΚΑΙΡΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/4/4/448759457_10160385297213269_8914536429401328051_n.jpg,ΦΛΟΥΡΑΚΗΣ ΑΝΔΡΕΑΣ,"12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/tetarto-kalokairi.html
ΔΟΞΑ ΕΒΡΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/d/o/doxa-evrou-cover-scaled.jpg,ΓΙΑΝΝΑΚΗ ΕΙΡΗΝΗ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/doxa-ebroy.html
ΠΡΙΓΚΙΠΙΣΣΑ Ή ΚΑΡΙΟΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6856_2.png,GALLAGHER NANA/ ΓΚΑΛΑΧΕΡ ΝΑΝΑ,"13,05 €|14,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/prigkipissa-kariola.html
ΟΣΟ ΑΚΡΙΒΑΙΝΕΙ Η ΖΩΗ ΤΟΣΟ ΦΤΗΝΑΙΝΟΥΝ ΤΑ ΟΠΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3955_1.jpg,ΚΟΥΤΟΥΒΕΛΑΣ ΓΙΩΡΓΟΣ,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/oso-akribainei-i-zoi-toso-ftinainoyn-ta-opla.html
ΟΛΑ ΣΥΜΒΑΙΝΟΥΝ ΠΡΙΝ ΣΥΜΒΟΥΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3900.jpg,ΣΙΔΗΡΑ ΑΓΓΕΛΙΚΗ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ola-symbainoyn-prin-symboyn.html
ΑΚΑΤΑΛΥΤΟΙ ΔΕΣΜΟΙ ΙΙΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3901.jpg,ΚΑΤΣΙΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/akatalytoi-desmoi-iii.html
ΕΑΡ-ΟΛΟΓΙΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/_/-/_-__112_5.jpg,ΠΑΠΑΔΟΠΟΥΛΟΣ ΜΠΑΜΠΗΣ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ear-ologio.html
ΠΟΤΕ ΛΗΣΜΟΝΗΜΕΝΟΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3929.jpg,ΠΡΑΣΙΝΟΥ ΒΙΚΥ,"7,65 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/pote-lismonimenoi.html
ΣΥΓΓΝΩΜΗ… ΝΑ ΠΕΡΑΣΩ;,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3930.jpg,SEPULVEDA LUIS/ ΣΕΠΟΥΛΒΕΔΑ ΛΟΥΙΣ,"14,40 €|16,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/syggnomi-na-peraso.html
